	EB001_trimmed.fastq.sam.counts	EB002_trimmed.fastq.sam.counts	EB003_trimmed.fastq.sam.counts	EB004_trimmed.fastq.sam.counts	EB005_trimmed.fastq.sam.counts	EB006_trimmed.fastq.sam.counts	EB007_trimmed.fastq.sam.counts	EB008_trimmed.fastq.sam.counts	EB009_trimmed.fastq.sam.counts	EB010_trimmed.fastq.sam.counts	EB011_trimmed.fastq.sam.counts	EB012_trimmed.fastq.sam.counts	EB013_trimmed.fastq.sam.counts	EB014_trimmed.fastq.sam.counts	EB015_trimmed.fastq.sam.counts	
TRINITY_DN10002_c0_g1_i1	2	3	4	4	6	0	6	5	4	4	4	2	1	9	2	
TRINITY_DN100053_c0_g1_i1	4	0	2	2	0	0	4	1	2	0	0	1	0	2	1	
TRINITY_DN10006_c0_g1_i6	163	294	230	325	98	91	303	370	175	133	139	90	213	199	190	
TRINITY_DN100083_c0_g2_i1	1	2	1	2	1	0	1	1	1	1	0	0	1	1	2	
TRINITY_DN1000_c0_g1_i1	12	11	11	10	2	5	10	10	9	3	10	3	6	7	8	
TRINITY_DN1000_c1_g1_i2	12	15	6	11	9	6	20	19	3	2	2	1	25	14	9	
TRINITY_DN10010_c0_g1_i1	3	8	4	3	2	0	8	4	1	2	5	7	4	3	2	
TRINITY_DN10011_c0_g1_i1	5	8	3	9	6	2	3	3	8	4	4	7	15	11	1	
TRINITY_DN10015_c0_g1_i1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	
TRINITY_DN10015_c0_g2_i2	12	13	6	8	5	7	11	12	6	10	10	8	11	15	21	
TRINITY_DN100162_c0_g2_i1	54	21	32	27	15	22	49	60	39	17	31	17	32	24	33	
TRINITY_DN10018_c0_g1_i3	2	0	0	1	0	0	0	3	0	1	0	0	1	1	0	
TRINITY_DN1001_c0_g1_i2	7	4	4	5	5	1	7	6	2	3	7	3	9	3	6	
TRINITY_DN1001_c0_g1_i3	5	7	9	6	3	4	4	8	3	11	1	1	7	8	2	
TRINITY_DN100207_c0_g1_i1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
TRINITY_DN100210_c0_g1_i4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	
TRINITY_DN100234_c0_g1_i2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
TRINITY_DN10023_c0_g1_i1	1	2	2	1	0	1	3	3	0	1	2	1	1	1	0	
TRINITY_DN10023_c0_g1_i2	256	443	313	361	231	142	448	492	206	249	187	155	365	298	268	
TRINITY_DN10023_c1_g1_i2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
TRINITY_DN100250_c0_g1_i1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
TRINITY_DN100281_c0_g1_i2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
TRINITY_DN100284_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
TRINITY_DN100298_c0_g1_i1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
TRINITY_DN10029_c0_g2_i17	3	4	4	1	0	2	7	5	1	3	1	2	1	2	2	
TRINITY_DN10029_c0_g2_i9	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	
TRINITY_DN100301_c0_g1_i2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	
TRINITY_DN10033_c0_g1_i2	2	3	4	3	5	2	7	3	3	2	2	0	3	7	3	
TRINITY_DN100360_c0_g1_i1	2	1	2	1	0	2	1	1	2	0	0	0	2	4	2	
TRINITY_DN100361_c0_g1_i1	1	0	0	0	0	0	3	0	0	2	0	1	0	0	0	
TRINITY_DN10039_c0_g1_i2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	
TRINITY_DN1003_c0_g1_i10	2	7	1	3	3	0	2	6	2	2	3	0	3	3	1	
TRINITY_DN100415_c0_g1_i1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	
TRINITY_DN100424_c0_g1_i1	0	0	1	0	1	0	1	1	0	2	3	0	0	0	2	
TRINITY_DN100480_c0_g1_i1	2	15	8	13	3	1	0	5	2	4	0	4	6	5	5	
TRINITY_DN10049_c0_g1_i1	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	
TRINITY_DN100512_c0_g1_i2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	
TRINITY_DN100535_c0_g1_i1	0	0	4	1	0	2	1	4	1	0	0	0	1	0	0	
TRINITY_DN100560_c0_g1_i1	0	0	0	0	1	0	1	1	0	0	1	0	1	2	0	
TRINITY_DN10056_c0_g1_i3	1	1	1	1	0	0	1	1	0	1	0	2	1	1	0	
TRINITY_DN100570_c0_g1_i1	3	7	5	2	0	3	2	6	2	6	0	5	4	3	8	
TRINITY_DN100579_c0_g1_i2	0	0	0	0	1	0	0	1	1	0	0	1	2	1	1	
TRINITY_DN1005_c0_g1_i4	1	8	3	3	2	3	8	7	4	7	1	3	6	6	7	
TRINITY_DN100616_c0_g1_i1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	2	
TRINITY_DN100624_c0_g1_i1	2	2	2	1	1	0	1	1	1	0	0	1	1	1	2	
TRINITY_DN100637_c0_g1_i1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	2	
TRINITY_DN100652_c0_g1_i1	0	5	1	3	3	3	1	1	1	0	1	2	4	3	4	
TRINITY_DN100659_c0_g1_i1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	
TRINITY_DN10065_c0_g1_i2	8	7	7	5	5	2	10	8	6	9	4	3	5	9	7	
TRINITY_DN100666_c0_g1_i1	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	
TRINITY_DN10067_c0_g2_i1	5	6	4	10	3	2	4	11	3	5	4	3	3	4	9	
TRINITY_DN100680_c0_g1_i1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
TRINITY_DN10071_c0_g1_i1	1	3	2	3	1	0	3	1	0	0	0	2	2	2	1	
TRINITY_DN100737_c0_g1_i3	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	
TRINITY_DN100756_c0_g1_i1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	
TRINITY_DN100758_c0_g1_i2	2	1	3	5	2	0	6	2	1	1	4	2	5	1	5	
TRINITY_DN10076_c0_g1_i1	12	18	5	14	9	2	11	7	4	8	5	5	18	9	8	
TRINITY_DN100780_c0_g1_i1	0	4	0	1	0	0	2	1	1	1	1	1	0	1	1	
TRINITY_DN1007_c0_g1_i10	3	4	3	2	1	3	4	7	1	3	2	3	2	5	3	
TRINITY_DN100800_c1_g1_i1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
TRINITY_DN10080_c0_g1_i3	17	28	20	10	12	8	27	20	11	22	16	7	12	22	14	
TRINITY_DN10081_c0_g1_i1	2	5	4	7	0	1	4	2	1	1	3	0	4	5	2	
TRINITY_DN10084_c0_g1_i1	2	0	4	3	0	1	2	2	0	3	0	0	1	0	0	
TRINITY_DN100902_c0_g1_i1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
TRINITY_DN100909_c0_g1_i1	0	1	1	0	0	0	2	1	0	1	1	2	1	2	0	
TRINITY_DN10093_c0_g1_i3	4	2	2	3	1	1	0	2	4	1	3	1	0	1	2	
TRINITY_DN100944_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
TRINITY_DN10094_c0_g1_i10	2	0	2	0	2	0	2	0	1	2	1	1	0	0	4	
TRINITY_DN10096_c0_g1_i1	10	26	25	20	14	7	24	17	12	11	8	11	20	19	13	
TRINITY_DN100977_c0_g1_i1	0	0	0	1	2	0	0	0	0	1	0	0	1	1	0	
TRINITY_DN100984_c0_g1_i4	0	4	1	0	0	0	3	4	1	2	2	0	1	1	0	
TRINITY_DN100990_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
TRINITY_DN100990_c1_g1_i2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
TRINITY_DN100990_c2_g1_i2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
TRINITY_DN101009_c0_g1_i2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	
TRINITY_DN101012_c0_g1_i1	12	17	8	11	10	1	13	10	6	12	5	5	10	8	13	
TRINITY_DN101020_c0_g2_i2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
TRINITY_DN10102_c0_g2_i1	0	0	2	0	1	0	1	0	0	0	1	0	1	0	0	
TRINITY_DN10102_c0_g2_i4	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	
TRINITY_DN101053_c0_g1_i1	0	2	0	1	0	0	1	0	0	0	1	0	1	0	0	
TRINITY_DN10106_c0_g1_i1	24	39	41	43	17	12	43	30	17	41	10	21	30	38	19	
TRINITY_DN101071_c0_g1_i1	1	0	2	1	0	0	1	2	2	1	1	0	2	4	2	
TRINITY_DN101079_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
TRINITY_DN101148_c0_g1_i1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	
TRINITY_DN10117_c0_g1_i2	1	4	0	3	1	2	3	4	1	0	2	3	3	3	1	
TRINITY_DN101203_c0_g1_i2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
TRINITY_DN101243_c1_g1_i2	14	17	14	23	3	13	24	14	9	11	9	6	14	18	12	
TRINITY_DN10125_c0_g1_i13	1	2	2	5	2	1	7	6	3	0	1	1	5	4	1	
TRINITY_DN101269_c0_g1_i1	2	1	1	2	1	0	4	5	2	2	0	0	2	0	2	
TRINITY_DN1012_c0_g1_i1	1	3	1	3	3	0	1	4	2	2	5	1	5	1	1	
TRINITY_DN10130_c0_g1_i1	11	11	9	13	9	2	16	16	8	10	13	6	9	11	10	
TRINITY_DN101311_c0_g1_i1	0	0	1	2	0	0	2	0	0	1	0	0	0	1	0	
TRINITY_DN101356_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
TRINITY_DN10135_c0_g1_i2	5	10	9	11	5	7	11	14	7	8	9	8	9	17	20	
TRINITY_DN101398_c0_g1_i1	0	3	1	4	3	1	2	4	3	4	2	2	3	1	1	
TRINITY_DN101433_c0_g1_i1	0	0	2	0	0	0	0	0	0	1	0	0	3	0	1	
TRINITY_DN101438_c0_g1_i1	3	0	2	0	0	0	2	2	0	0	1	0	0	1	1	
