"category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description","module"
"COMPARTMENTS","GOCC:0005622",47,10128,50429,"50429.A0A2B4R2Q3,50429.A0A2B4R5R4,50429.A0A2B4R892,50429.A0A2B4R8X2,50429.A0A2B4RDR4,50429.A0A2B4REW6,50429.A0A2B4RFZ8,50429.A0A2B4RI02,50429.A0A2B4RMD7,50429.A0A2B4RQ03,50429.A0A2B4RUC3,50429.A0A2B4RUM7,50429.A0A2B4RV20,50429.A0A2B4RVR7,50429.A0A2B4RY01,50429.A0A2B4S0S1,50429.A0A2B4S1L4,50429.A0A2B4S260,50429.A0A2B4S5X0,50429.A0A2B4S8R0,50429.A0A2B4S8X4,50429.A0A2B4SA54,50429.A0A2B4SA77,50429.A0A2B4SAQ0,50429.A0A2B4SB26,50429.A0A2B4SCC3,50429.A0A2B4SDZ8,50429.A0A2B4SGI7,50429.A0A2B4SGJ9,50429.A0A2B4SGW1,50429.A0A2B4SHE4,50429.A0A2B4SJR8,50429.A0A2B4SKN4,50429.A0A2B4SM38,50429.A0A2B4SM57,50429.A0A2B4SMZ2,50429.A0A2B4SNE6,50429.A0A2B4SR88,50429.A0A2B4SRD7,50429.A0A2B4SRQ5,50429.A0A2B4ST70,50429.A0A2B4SYM5,50429.A0A2B4SYS2,50429.A0A2B4SZQ7,50429.A0A2B4SZY7,50429.A0A2B4T104,50429.A0A2B4T253","Slc11a2,ABCC4,HLTF,Ddx39b,A1CF,Osbpl1a,Syap1,STRADA,Smg1,ABCC1,ENTPD5,Cpsf2,slc25a42,BECN1,Dgat1,DHFR,FAAH,Fbxo8,eef1a,otx1b,UQCRB,RPL3,Cbr1,Akap9,SNUPN,Eif2b4,CBR1,Ccdc47,Abcc1,IDNK,Tango2,MIPOL1,HSP110,NSF,RMDN1,YME1L1,Kalrn,samm50-b,MECR,Timm22,Ugt2a2,ccdc39,TIAM1,WDFY2,Mgme1,Cog1,PPIE",1.17e-05,0.0135,"Intracellular","skyblue"
"Process","GO:0009987",61,12655,50429,"50429.A0A2B4R241,50429.A0A2B4R2Q3,50429.A0A2B4R471,50429.A0A2B4R5R4,50429.A0A2B4R892,50429.A0A2B4R8X2,50429.A0A2B4RD26,50429.A0A2B4RDR4,50429.A0A2B4RF34,50429.A0A2B4RFZ8,50429.A0A2B4RI02,50429.A0A2B4RJX8,50429.A0A2B4RMD7,50429.A0A2B4RNA5,50429.A0A2B4RND4,50429.A0A2B4RQ03,50429.A0A2B4RUC3,50429.A0A2B4RUM7,50429.A0A2B4RV20,50429.A0A2B4RVR7,50429.A0A2B4RY01,50429.A0A2B4S031,50429.A0A2B4S0S1,50429.A0A2B4S1L4,50429.A0A2B4S260,50429.A0A2B4S3G7,50429.A0A2B4S5X0,50429.A0A2B4S8X4,50429.A0A2B4SA54,50429.A0A2B4SA77,50429.A0A2B4SAQ0,50429.A0A2B4SB26,50429.A0A2B4SCC3,50429.A0A2B4SDZ8,50429.A0A2B4SGI7,50429.A0A2B4SGJ9,50429.A0A2B4SGW1,50429.A0A2B4SHE4,50429.A0A2B4SKN4,50429.A0A2B4SL51,50429.A0A2B4SL53,50429.A0A2B4SM38,50429.A0A2B4SM57,50429.A0A2B4SMZ2,50429.A0A2B4SNE6,50429.A0A2B4SR88,50429.A0A2B4SRD7,50429.A0A2B4SRQ5,50429.A0A2B4SS28,50429.A0A2B4SSA4,50429.A0A2B4ST70,50429.A0A2B4SWN1,50429.A0A2B4SYM5,50429.A0A2B4SYS2,50429.A0A2B4SZP9,50429.A0A2B4SZV8,50429.A0A2B4SZY7,50429.A0A2B4T104,50429.A0A2B4T1J8,50429.A0A2B4T253,50429.A0A2B4T368","Cntnap1,Slc11a2,Mfge8,ABCC4,HLTF,Ddx39b,CAP1,A1CF,GPX5,Syap1,STRADA,CNTNAP1,Smg1,INPP5A,Dmd,ABCC1,ENTPD5,Cpsf2,slc25a42,BECN1,Dgat1,SEL1L3,DHFR,FAAH,Fbxo8,Itfg2,eef1a,UQCRB,RPL3,Cbr1,Akap9,SNUPN,Eif2b4,CBR1,Ccdc47,Abcc1,IDNK,Tango2,HSP110,Emc8,cdh-4,NSF,RMDN1,YME1L1,Kalrn,samm50-b,MECR,Timm22,MAP2K4,Tsr1,Ugt2a2,Megf8,ccdc39,TIAM1,Pdss2,ABCG4,Mgme1,Cog1,DMD,PPIE,Hltf",2.45e-10,1.06e-06,"Cellular process","skyblue"
"Process","GO:0051205",4,32,50429,"50429.A0A2B4SGI7,50429.A0A2B4SL51,50429.A0A2B4SR88,50429.A0A2B4SRQ5","Ccdc47,Emc8,samm50-b,Timm22",3.36e-06,0.0072,"Protein insertion into membrane","skyblue"
"Process","GO:0090150",5,83,50429,"50429.A0A2B4SGI7,50429.A0A2B4SL51,50429.A0A2B4SM38,50429.A0A2B4SR88,50429.A0A2B4SRQ5","Ccdc47,Emc8,NSF,samm50-b,Timm22",5.37e-06,0.0077,"Establishment of protein localization to membrane","skyblue"
"Process","GO:0033036",12,966,50429,"50429.A0A2B4R8X2,50429.A0A2B4REW6,50429.A0A2B4RI02,50429.A0A2B4RY01,50429.A0A2B4SB26,50429.A0A2B4SGI7,50429.A0A2B4SHE4,50429.A0A2B4SL51,50429.A0A2B4SM38,50429.A0A2B4SR88,50429.A0A2B4SRQ5,50429.A0A2B4T104","Ddx39b,Osbpl1a,STRADA,Dgat1,SNUPN,Ccdc47,Tango2,Emc8,NSF,samm50-b,Timm22,Cog1",1.92e-05,0.0206,"Macromolecule localization","skyblue"
"Process","GO:0045184",9,574,50429,"50429.A0A2B4RI02,50429.A0A2B4SB26,50429.A0A2B4SGI7,50429.A0A2B4SHE4,50429.A0A2B4SL51,50429.A0A2B4SM38,50429.A0A2B4SR88,50429.A0A2B4SRQ5,50429.A0A2B4T104","STRADA,SNUPN,Ccdc47,Tango2,Emc8,NSF,samm50-b,Timm22,Cog1",4.11e-05,0.0323,"Establishment of protein localization","skyblue"
"Process","GO:0051179",20,2653,50429,"50429.A0A2B4R2Q3,50429.A0A2B4R5R4,50429.A0A2B4R8X2,50429.A0A2B4REW6,50429.A0A2B4RI02,50429.A0A2B4RQ03,50429.A0A2B4RV20,50429.A0A2B4RVR7,50429.A0A2B4RY01,50429.A0A2B4SB26,50429.A0A2B4SGI7,50429.A0A2B4SGJ9,50429.A0A2B4SHE4,50429.A0A2B4SL51,50429.A0A2B4SM38,50429.A0A2B4SR88,50429.A0A2B4SRQ5,50429.A0A2B4SYM5,50429.A0A2B4SZV8,50429.A0A2B4T104","Slc11a2,ABCC4,Ddx39b,Osbpl1a,STRADA,ABCC1,slc25a42,BECN1,Dgat1,SNUPN,Ccdc47,Abcc1,Tango2,Emc8,NSF,samm50-b,Timm22,ccdc39,ABCG4,Cog1",3.83e-05,0.0323,"Localization","skyblue"
"Process","GO:0051234",19,2424,50429,"50429.A0A2B4R2Q3,50429.A0A2B4R5R4,50429.A0A2B4R8X2,50429.A0A2B4REW6,50429.A0A2B4RI02,50429.A0A2B4RQ03,50429.A0A2B4RV20,50429.A0A2B4RVR7,50429.A0A2B4SB26,50429.A0A2B4SGI7,50429.A0A2B4SGJ9,50429.A0A2B4SHE4,50429.A0A2B4SL51,50429.A0A2B4SM38,50429.A0A2B4SR88,50429.A0A2B4SRQ5,50429.A0A2B4SYM5,50429.A0A2B4SZV8,50429.A0A2B4T104","Slc11a2,ABCC4,Ddx39b,Osbpl1a,STRADA,ABCC1,slc25a42,BECN1,SNUPN,Ccdc47,Abcc1,Tango2,Emc8,NSF,samm50-b,Timm22,ccdc39,ABCG4,Cog1",3.75e-05,0.0323,"Establishment of localization","skyblue"
"Component","GO:0110165",67,17259,50429,"50429.A0A2B4R241,50429.A0A2B4R2Q3,50429.A0A2B4R471,50429.A0A2B4R5R4,50429.A0A2B4R892,50429.A0A2B4R8X2,50429.A0A2B4RD26,50429.A0A2B4RDR4,50429.A0A2B4RDY7,50429.A0A2B4REW6,50429.A0A2B4RF34,50429.A0A2B4RFZ8,50429.A0A2B4RI02,50429.A0A2B4RJX8,50429.A0A2B4RMD7,50429.A0A2B4RNA5,50429.A0A2B4RND4,50429.A0A2B4RQ03,50429.A0A2B4RQW5,50429.A0A2B4RUC3,50429.A0A2B4RUM7,50429.A0A2B4RV20,50429.A0A2B4RVR7,50429.A0A2B4RY01,50429.A0A2B4S031,50429.A0A2B4S0S1,50429.A0A2B4S1L4,50429.A0A2B4S3G7,50429.A0A2B4S5X0,50429.A0A2B4S8R0,50429.A0A2B4S8X4,50429.A0A2B4SA54,50429.A0A2B4SA77,50429.A0A2B4SAQ0,50429.A0A2B4SB26,50429.A0A2B4SC31,50429.A0A2B4SCC3,50429.A0A2B4SDZ8,50429.A0A2B4SGI7,50429.A0A2B4SGJ9,50429.A0A2B4SGW1,50429.A0A2B4SHE4,50429.A0A2B4SJR8,50429.A0A2B4SKN4,50429.A0A2B4SL51,50429.A0A2B4SL53,50429.A0A2B4SM38,50429.A0A2B4SM57,50429.A0A2B4SMZ2,50429.A0A2B4SNE6,50429.A0A2B4SR88,50429.A0A2B4SRD7,50429.A0A2B4SRQ5,50429.A0A2B4SS28,50429.A0A2B4SSA4,50429.A0A2B4ST70,50429.A0A2B4SWN1,50429.A0A2B4SYM5,50429.A0A2B4SYS2,50429.A0A2B4SZP9,50429.A0A2B4SZQ7,50429.A0A2B4SZV8,50429.A0A2B4SZY7,50429.A0A2B4T104,50429.A0A2B4T1J8,50429.A0A2B4T253,50429.A0A2B4T368","Cntnap1,Slc11a2,Mfge8,ABCC4,HLTF,Ddx39b,CAP1,A1CF,nrf-6,Osbpl1a,GPX5,Syap1,STRADA,CNTNAP1,Smg1,INPP5A,Dmd,ABCC1,hex,ENTPD5,Cpsf2,slc25a42,BECN1,Dgat1,SEL1L3,DHFR,FAAH,Itfg2,eef1a,otx1b,UQCRB,RPL3,Cbr1,Akap9,SNUPN,ncl1,Eif2b4,CBR1,Ccdc47,Abcc1,IDNK,Tango2,MIPOL1,HSP110,Emc8,cdh-4,NSF,RMDN1,YME1L1,Kalrn,samm50-b,MECR,Timm22,MAP2K4,Tsr1,Ugt2a2,Megf8,ccdc39,TIAM1,Pdss2,WDFY2,ABCG4,Mgme1,Cog1,DMD,PPIE,Hltf",4.41e-08,3.9e-05,"Cellular anatomical entity","skyblue"
"Component","GO:0005737",43,7664,50429,"50429.A0A2B4R892,50429.A0A2B4R8X2,50429.A0A2B4RD26,50429.A0A2B4REW6,50429.A0A2B4RFZ8,50429.A0A2B4RI02,50429.A0A2B4RMD7,50429.A0A2B4RUC3,50429.A0A2B4RV20,50429.A0A2B4RVR7,50429.A0A2B4RY01,50429.A0A2B4S0S1,50429.A0A2B4S1L4,50429.A0A2B4S3G7,50429.A0A2B4S5X0,50429.A0A2B4S8X4,50429.A0A2B4SA54,50429.A0A2B4SAQ0,50429.A0A2B4SB26,50429.A0A2B4SC31,50429.A0A2B4SCC3,50429.A0A2B4SDZ8,50429.A0A2B4SGI7,50429.A0A2B4SGW1,50429.A0A2B4SHE4,50429.A0A2B4SKN4,50429.A0A2B4SL51,50429.A0A2B4SM38,50429.A0A2B4SM57,50429.A0A2B4SMZ2,50429.A0A2B4SNE6,50429.A0A2B4SR88,50429.A0A2B4SRD7,50429.A0A2B4SRQ5,50429.A0A2B4SS28,50429.A0A2B4SYM5,50429.A0A2B4SYS2,50429.A0A2B4SZP9,50429.A0A2B4SZQ7,50429.A0A2B4SZY7,50429.A0A2B4T104,50429.A0A2B4T253,50429.A0A2B4T368","HLTF,Ddx39b,CAP1,Osbpl1a,Syap1,STRADA,Smg1,ENTPD5,slc25a42,BECN1,Dgat1,DHFR,FAAH,Itfg2,eef1a,UQCRB,RPL3,Akap9,SNUPN,ncl1,Eif2b4,CBR1,Ccdc47,IDNK,Tango2,HSP110,Emc8,NSF,RMDN1,YME1L1,Kalrn,samm50-b,MECR,Timm22,MAP2K4,ccdc39,TIAM1,Pdss2,WDFY2,Mgme1,Cog1,PPIE,Hltf",2.01e-07,8.9e-05,"Cytoplasm","skyblue"
